entity,code,year,dtp1_coverage_pct,dtp3_coverage_pct,dtp3_minus_dtp1_pct_gap,source
Afghanistan,AFG,1980,22,4,-18.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2013,76,64,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2014,73,62,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2015,73,64,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2016,73,66,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2017,73,64,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2018,77,68,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2019,69,65,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2020,70,61,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2021,64,55,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2022,67,58,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2023,67,60,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2024,66,59,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1980,13.973343,9.277582,-4.70,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1981,24.424484,14.022753,-10.40,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1982,27.987803,15.809792,-12.18,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1983,36.548447,22.322681,-14.23,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1984,46.523087,28.28405,-18.24,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1985,55.808353,36.268597,-19.54,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1986,60.50899,40.47252,-20.04,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1987,66.01218,46.72535,-19.29,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1988,69.22316,50.223446,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1989,73.92673,55.14232,-18.78,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1990,77.97964,59.972057,-18.01,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1991,71.53744,52.797005,-18.74,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1992,71.97338,53.439896,-18.53,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1993,72.33785,53.49583,-18.84,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1994,75.97087,57.248314,-18.72,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1995,74.65162,56.694935,-17.96,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1996,72.84964,54.872524,-17.98,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1997,76.2113,53.398884,-22.81,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1998,69.724915,52.287926,-17.44,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,1999,67.92872,53.581036,-14.35,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2000,68.69233,55.341278,-13.35,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2001,69.13796,56.129673,-13.01,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2002,70.072136,57.02368,-13.05,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2003,72.044495,59.634342,-12.41,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2004,73.69025,62.334972,-11.36,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2005,75.08247,65.328316,-9.75,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2006,76.98859,67.2315,-9.76,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2007,78.67156,68.79068,-9.88,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2008,80.451324,71.48086,-8.97,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2009,82.85332,74.411896,-8.44,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2010,80.73223,73.46686,-7.27,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2011,81.156395,74.61576,-6.54,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2012,78.23176,71.65287,-6.58,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2013,77.58163,71.83244,-5.75,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2014,80.16358,73.63328,-6.53,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2015,80.3845,73.12944,-7.26,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2016,82.51802,75.721985,-6.80,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2017,82.64666,76.03318,-6.61,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2018,83.676384,77.16519,-6.51,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2019,84.344025,78.16262,-6.18,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2020,82.71463,75.56682,-7.15,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2021,82.3017,74.68514,-7.62,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2022,82.004616,74.55958,-7.45,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa,,2023,82.90618,75.851456,-7.05,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1980,8,5,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1981,21,11,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1982,22,12,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1983,31,18,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1984,43,24,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1985,52,32,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1986,58,37,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1987,63,42,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1988,66,46,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1989,72,51,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1990,77,57,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1991,69,49,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1992,70,50,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1993,70,50,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1994,75,55,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1995,73,54,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1996,71,51,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1997,75,50,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1998,67,48,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,1999,65,49,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2000,66,51,-15.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2001,66,52,-14.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2002,68,53,-15.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2003,70,56,-14.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2004,72,59,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2005,73,62,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2006,76,65,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2007,77,66,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2008,79,70,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2009,82,73,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2010,80,71,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2011,79,72,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2012,76,69,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2013,75,69,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2014,78,71,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2015,78,70,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2016,81,73,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2017,81,74,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2018,82,75,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2019,83,76,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2020,81,74,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2021,81,73,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2022,80,72,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2023,83,75,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Africa (WHO),,2024,83,76,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1980,68,51,-17.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1981,72,54,-18.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1982,75,58,-17.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1983,76,60,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1984,80,64,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1985,80,64,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1986,81,65,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1987,84,69,-15.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1988,86,72,-14.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1989,87,72,-15.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1990,89,74,-15.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1991,92,80,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1992,92,79,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1993,93,81,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1994,85,84,-1.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1995,93,86,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1996,91,85,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1997,96,86,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1998,96,88,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,1999,97,90,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2000,97,91,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2001,96,91,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2002,96,92,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2003,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2004,97,94,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2005,98,94,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2006,97,94,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2007,96,94,-2.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2008,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2009,97,94,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2010,97,94,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2011,97,94,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2012,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2013,95,91,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2014,96,90,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2015,97,91,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2016,96,91,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2017,94,87,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2018,92,88,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2019,89,84,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2020,89,81,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2021,87,81,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2022,90,83,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2023,90,86,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Americas (WHO),,2024,89,86,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1980,69,44,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1981,73,49,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1982,80,58,-22.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1983,82,61,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1984,83,62,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1985,86,66,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1986,86,67,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1987,91,75,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1988,93,80,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1989,93,80,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1990,95,87,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1991,93,80,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1992,93,81,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1993,93,81,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1994,94,82,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1995,95,85,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1996,94,83,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1997,96,88,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1998,96,84,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,1999,96,86,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2000,96,83,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2001,96,83,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2002,96,93,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2003,96,96,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2004,99,98,-1.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2005,99,98,-1.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2006,93,91,-2.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2007,94,91,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2008,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2009,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2010,95,94,-1.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2011,94,91,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2012,94,91,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2013,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2014,98,94,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2015,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2016,93,92,-1.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2017,94,88,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2018,91,86,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2019,87,83,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2020,79,74,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2021,88,81,-7.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2022,90,84,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2023,77,66,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Argentina,ARG,2024,80,75,-5.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1980,58,33,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1981,65,40,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1982,72,48,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1983,78,55,-23.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1984,83,62,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1985,87,68,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1986,91,75,-16.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1987,93,81,-12.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1988,96,88,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1989,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1990,98,95,-3.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1991,97,93,-4.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1992,97,91,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1993,96,90,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1994,96,88,-8.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1995,95,86,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1996,95,86,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1997,77,77,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1998,82,82,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,1999,88,88,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2000,90,90,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2001,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2002,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2003,93,93,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2004,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2005,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2006,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2007,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2008,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2009,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2010,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2011,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2012,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2013,91,91,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2014,92,92,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2015,93,93,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2016,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2017,95,95,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2018,95,95,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2019,95,95,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2020,95,95,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2021,95,95,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2022,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2023,94,94,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Australia,AUS,2024,93,93,0.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Brazil,BRA,1980,62,37,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Brazil,BRA,1981,72,47,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Brazil,BRA,1982,79,56,-23.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Brazil,BRA,1983,82,60,-22.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Brazil,BRA,1984,87,68,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
